Opportunity_ID,Target
12173,0.37839302
12172,0.3919885
11408,0.9903983
12232,0.654125
12233,0.8982971
11990,0.41101325
10796,0.3917178
10797,0.29551524
11997,0.9773745
11019,0.41138968
11652,0.7523597
11409,0.04499189
12230,0.5178888
10799,0.44401464
10800,0.6055365
11651,0.96019727
10733,0.095600344
10732,0.091091536
12287,0.2830538
12288,0.53649133
10957,0.21672982
10958,0.046367392
11407,0.9732626
12267,0.068378456
11993,0.64835584
10953,0.020468272
10955,0.16473173
10956,0.046913482
10802,0.29289773
10703,0.12958835
10701,0.30559504
12274,0.45279157
12276,0.5060918
10697,0.5138142
10700,0.23047584
10698,0.35196778
10699,0.46688288
10702,0.3499145
11996,0.40908322
10695,0.25556067
10696,0.16684523
11978,0.6516808
11515,0.0074134655
10798,0.2500253
12268,0.16804281
12265,0.3354246
12266,0.16357137
12269,0.45716748
12270,0.17414202
10825,0.790927
12033,0.002974794
11247,0.00015986073
10740,0.6187625
12086,0.5389216
11961,0.5733998
12088,0.61446637
11998,0.7493992
11244,0.00022641289
12176,0.3526125
11103,0.679857
11533,0.41887912
11289,0.48008657
11291,0.3247367
12253,0.10590426
11577,0.49948388
10978,0.9622412
11313,0.17842047
12255,0.12935516
11745,0.3113898
11876,0.49306995
11694,0.72100043
11227,0.0003504392
12059,0.055528533
10713,0.29973522
12273,0.6358092
11479,0.16994774
12092,0.50966835
10726,0.63234365
10734,0.3638629
10711,0.86470383
11550,0.00035090267
12057,0.87588674
12058,0.88197803
11571,0.82067096
11574,0.39976138
11578,0.2670151
11586,0.90408325
11605,0.6345845
10862,0.55949694
11746,0.20671591
11099,0.6594215
11679,0.0082125645
10710,0.9233459
12256,0.31339172
12100,0.86393005
11101,0.5274879
12099,0.9876868
11664,0.0026418176
11673,0.8024656
12090,0.36558962
12179,0.968387
12252,0.90099466
12178,0.69973326
12093,0.7494527
10980,0.5586826
11576,0.25066414
10717,0.13684985
12091,0.27550104
11328,0.699319
11411,0.44761488
11539,0.8622936
12022,0.0008972914
12290,0.28610894
11553,0.022807948
11270,0.8458734
11481,0.00073490414
11482,0.00045189806
10824,0.008673528
10898,0.31750128
10952,0.48343384
10954,0.50012326
11243,0.23743734
11936,0.94064564
11834,0.17016871
12281,0.28451145
11582,0.90585387
11912,0.8197096
10844,0.743269
10727,0.45325485
11842,0.018106906
12291,0.71765804
11100,0.6847389
11105,0.005998851
11759,0.88918144
12237,0.90681726
10750,0.7939965
10902,0.69640386
10877,0.77202773
11535,0.8776454
11049,0.02713733
11653,0.4312788
11841,0.09467972
12231,0.2860255
11098,0.02462192
11670,0.653957
11671,0.5495505
11306,0.0057448703
11254,0.6169992
11442,0.00036397463
10811,0.0032601992
11551,0.13473606
11943,0.49344543
11875,0.20272826
11387,0.03696996
11820,0.8840063
11440,0.9415372
11573,0.3637789
12050,0.47230357
12031,0.9622921
10991,0.058007084
11994,0.83143014
11036,0.7880436
10938,0.039036896
10770,0.7900324
10992,0.0003510544
11014,0.9836691
10936,0.96133816
11230,0.88952965
10931,0.95101863
11723,0.97224975
10728,0.98634744
11256,0.9983102
12236,0.82636946
11255,0.93878496
11233,0.95452315
11500,0.9924676
11665,0.007400021
12191,0.7558477
11287,0.9937173
11235,0.00013907182
12085,0.9864377
12293,0.99575543
10709,0.98071164
11348,0.992827
11478,0.999131
12342,0.992539
10725,0.9931485
12087,0.98325735
10827,0.9954749
11229,0.9594964
11414,0.9883922
11663,0.98762673
12167,0.9979625
10932,0.90453726
11231,0.62603575
11935,0.60705143
11232,0.53692055
12075,0.988633
11721,0.98122174
11811,0.9597593
10777,0.8217393
12292,0.10535381
11366,0.991087
11666,0.84168506
11234,0.987949
12106,0.8313017
11304,0.7874658
11498,1.2414872e-05
11532,0.79406047
12017,0.5896835
10930,0.87196857
11980,0.9921037
11499,0.4904172
12076,0.99719054
12254,0.99423665
11968,0.990044
10773,0.8322523
12343,0.97957134
10804,0.9976121
11236,0.987346
10805,3.7199927e-05
11695,0.62171304
12051,0.0032720563
12289,0.84552634
11969,0.8723614
11917,3.316991e-06
11871,0.599083
11305,0.0016591244
11097,0.0013831466
12160,0.073880166
11787,0.26477006
10826,0.34911922
12222,0.2857217
11298,0.24637419
11076,0.34745038
11362,0.78369415
12310,0.059788376
11474,0.3114919
12358,0.09487187
11472,0.7766891
12157,0.35727137
12158,0.31705698
12181,0.14839794
12159,0.08761861
10705,0.9313873
11627,0.82298946
11626,0.40318614
12021,0.44950408
11988,0.29063126
11962,0.8935734
11534,0.41826114
12177,0.51226574
10842,0.3742886
10843,0.24855088
11361,0.58292824
11286,0.018808538
10780,0.6175463
10990,0.10109234
11995,0.00011219233
12018,0.00016417314
12229,0.92181504
11878,0.0033704066
12027,0.724205
12166,5.8299647e-06
11613,0.8109262
11773,0.9028823
11048,0.44550166
11797,0.8979345
12169,0.7735781
10840,0.35752317
10935,0.2676617
11824,0.5850663
10933,0.97321105
11649,0.9728812
11494,0.24786213
12140,0.044183493
11047,0.9481226
11614,0.9906639
11650,0.6286763
12125,0.8096463
10929,0.82286566
11750,0.9656047
11763,0.9858183
11764,0.96922565
12126,0.93946
11386,0.67456996
11012,0.14326376
11085,0.52292204
12212,0.89574033
11342,0.9969837
12005,0.9748557
11042,0.9092116
12305,0.9199417
11796,0.9556719
12006,0.97718644
12007,0.89634925
12008,0.8403324
12243,0.0001404353
11825,9.098339e-06
12306,1.8969917e-05
11285,0.45288458
11738,0.26152062
10934,0.62682486
11495,0.02308199
11493,0.059757747
11615,0.01993655
11617,0.10870823
11616,0.062079247
11284,0.043449625
10860,0.025845176
11756,0.3288956
11374,0.018936463
10822,4.562606e-06
12004,0.16436036
11283,0.013739272
11683,0.003089422
12299,0.014109504
11806,0.5058743
10738,0.57527244
12307,0.34105122
12308,0.36814478
11359,2.2679114e-06
11977,0.7073313
12309,0.14595377
11765,0.46895123
12056,1.9133784e-05
11793,0.024820898
11772,0.30627134
11737,0.6751805
11011,0.81039387
11612,0.06727172
11002,0.80448574
12168,0.052383423
11648,0.0005244201
11492,0.18992135
11013,0.08671683
12262,0.4007411
12003,0.49718648
11813,0.0019310747
10912,0.9374992
11385,3.3102747e-06
10760,0.01020277
11451,0.8223709
11448,0.00051090005
11791,0.00028630072
10908,0.0008655367
11433,0.002600149
11434,0.002308618
11422,0.0009026796
11429,0.0017575893
11428,0.003644961
12038,0.98362374
11449,0.00019360283
12211,0.89396924
11949,0.5040516
12068,0.77486753
12067,0.7867963
12066,0.78368366
12069,0.7207884
12065,0.94406164
10737,0.95769876
10748,0.91226226
10872,0.00050595094
10789,0.0009985782
11579,9.079846e-05
12218,0.00060219486
10765,0.8332689
11321,0.59906363
11890,0.9881583
10907,0.96409047
11363,3.9463426e-05
10749,0.98979795
11380,0.80211323
12026,0.4771203
12011,0.95409495
12216,0.6335715
10757,0.0010072094
10873,0.5639403
12012,0.0013253688
11945,8.0089434e-05
12225,0.9434058
11862,0.92050415
11863,0.9247828
11751,0.87273496
11728,0.95188665
11718,0.96652234
12064,0.91186893
12217,0.9783398
10718,0.9902974
10951,0.008752613
11483,0.0012558496
11948,0.9640539
12164,0.00013464384
11088,3.294922e-06
10720,0.69040936
11431,0.00023349027
11432,0.0003114239
11430,0.0010112276
11452,0.87735456
11421,0.0005206544
11423,0.96064204
11455,0.0007969707
11450,0.89604896
10758,0.0007405803
12282,0.9808467
12104,0.00048609942
11766,0.9539526
11972,0.9771354
11779,2.1532533e-05
11688,0.4061417
11459,3.8355654e-07
11816,0.023756247
10691,0.81750876
12105,0.33557123
11659,0.9911839
12264,0.96514857
12356,0.95834076
11686,2.9321793e-05
12072,0.8581241
11946,0.0002561824
11947,0.7523139
11956,0.00013356727
11684,8.705485e-06
10839,0.0002101181
11752,0.82859665
12084,0.015280347
12367,0.78629595
11877,0.9917841
11705,0.81089187
12295,0.55163115
11458,0.029664272
12139,0.0054909852
11923,0.8795073
11282,0.9754287
11427,0.9702379
11083,1.3989469e-05
11729,0.56489044
11403,0.022139877
11706,4.882756e-05
12332,0.01902503
12348,0.0012978887
12350,0.0013638439
12327,0.040403467
12337,0.10664719
12349,0.019598361
12324,0.04946761
12335,0.0846694
12333,0.32014897
12325,0.06648321
12322,0.03499344
12330,0.2358256
12320,0.04218532
12321,0.113568835
12323,0.1536578
12334,0.044414192
12347,0.002505429
12351,0.0048315297
12336,0.019346585
12329,0.113721326
12338,0.24482149
12345,0.027253252
12346,0.0015216931
12328,0.27616295
12331,0.07200816
11054,0.00089620054
11397,0.7622626
11986,0.75874037
11084,0.038806934
11866,0.84246856
11867,0.83856833
11753,0.6194556
11864,0.83560103
11865,0.8443521
10925,0.97823036
11094,0.924122
11504,0.92691296
11250,0.035165783
10882,0.80522865
11466,0.14903435
11467,0.6210831
11078,0.08219066
10787,0.047887374
10763,0.23131193
10889,0.08875136
10762,0.21859415
10923,0.07549048
10892,0.054575674
11933,0.46796572
11974,0.02955923
12013,0.54757786
11640,0.06308781
11807,0.016931996
12186,0.99067163
11702,0.35548714
11643,0.028227123
11644,0.02320013
11645,0.0713737
11057,0.06492838
11044,0.24884677
11908,0.29903498
11900,0.4097561
11901,0.10413134
11902,0.6187795
12102,0.28638065
12103,0.06912323
10906,0.98972416
11924,6.68474e-05
12340,0.9201728
12245,0.97906166
11829,0.99428904
11251,0.7693372
10924,0.21267849
11007,0.378832
11782,0.037985872
11934,0.0011398358
11065,0.30273998
12213,0.9777371
11594,0.552852
12219,0.12798418
10820,0.73341036
10741,0.9606489
12283,0.74923
10756,0.90233636
11293,0.98960334
10764,0.99403185
10795,0.99682355
10890,0.95723355
10888,0.91841793
10891,0.99477565
10893,0.0066582933
10894,0.9962883
10895,0.97796315
11709,0.9798543
11710,0.95356256
11711,0.87933373
11712,0.9899294
11713,0.9468452
11794,0.9734048
12074,0.96321315
12294,0.9886551
12355,0.9911554
11897,0.9972326
11992,0.99295104
12030,0.9710026
11896,0.9844245
11989,0.8928539
11991,0.9821118
12029,0.9542056
12251,0.8515732
11785,0.8083218
11884,0.854236
11528,0.96828395
11646,0.7918587
11953,0.27041128
11242,0.73902625
12073,0.37994373
10761,0.78854907
10881,0.78642017
11488,0.79914236
11514,0.7661282
11527,0.8100478
11524,0.573151
11525,0.6799383
11526,0.5473204
11620,0.6683701
11730,0.33408678
11662,0.43819633
11795,0.5570687
11868,0.8458954
11975,0.27057904
11976,0.32086426
12215,0.7646008
12214,0.8940308
12246,0.7848341
